G1x,G1y,G1z,G2x,G2y,G2z,Vb1,Vb2,Ac1,AC2,Labels
0.034018,0.18194,-0.051011,0.40813,0.048206,0.15618,1.98E-04,3.31E-03,-0.025905,-0.045303,Imbalance
0.032407,0.10908,-0.029934,-0.39911,-0.023339,0.15131,6.63E-04,2.70E-03,-0.024261,-0.015056,Imbalance
0.030508,0.19411,-0.085132,0.417,0.029059,0.15085,1.21E-03,2.59E-03,-0.019987,-0.007165,Imbalance
0.027678,0.15055,0.058802,-0.27273,-0.019793,0.14843,6.93E-04,3.80E-03,-0.018672,-0.025576,Imbalance
0.026291,0.15064,-0.070481,0.20005,0.0041256,0.14428,2.24E-04,3.27E-03,-0.021302,-0.032809,Imbalance
0.028031,0.19017,-0.0095875,0.048915,0.022341,0.14987,4.88E-04,3.16E-03,-0.025576,-0.030837,Imbalance
0.027357,0.1362,-0.080752,-0.057872,0.0064635,0.14561,1.34E-03,2.49E-03,-0.027878,0.01289,Imbalance
0.032638,0.2191,-0.022925,0.30096,0.068412,0.15428,6.07E-04,3.04E-03,-0.026891,-0.003549,Imbalance
0.027883,0.10667,-0.044147,-0.38565,0.014987,0.14396,5.01E-04,3.21E-03,-0.023604,-0.036426,Imbalance
0.059733,0.18256,-0.065978,0.47314,0.068033,0.17826,1.87E-03,2.65E-03,-0.022946,-0.043659,Imbalance
0.061568,0.07924,-0.015964,-0.31116,0.0092446,0.17686,1.23E-03,2.84E-03,-0.022946,-0.044974,Imbalance
0.056524,0.10558,-0.10227,0.40587,0.050621,0.17215,8.68E-04,3.12E-03,-0.019658,-0.010782,Imbalance
0.056832,0.068072,0.003993,-0.22868,0.016971,0.17362,1.43E-03,3.42E-03,-0.021631,-0.009795,Imbalance
0.055003,0.058536,-0.13602,0.10527,0.023786,0.1676,7.01E-04,3.17E-03,-0.022289,-0.031494,Imbalance
0.05578,0.09787,0.058997,0.11445,0.023844,0.17275,1.07E-03,3.20E-03,-0.021302,-0.047275,Imbalance
0.055555,0.0032821,-0.042614,-0.15542,-0.013974,0.16654,8.81E-04,3.15E-03,-0.02459,-0.018015,Imbalance
0.057128,0.09392,-0.02419,0.35959,0.055811,0.17263,1.06E-03,3.11E-03,-0.028535,0.024397,Imbalance
0.054843,-0.0011554,-0.033268,-0.40814,-0.0072429,0.16706,1.31E-03,2.84E-03,-0.033138,0.008287,Imbalance
0.057397,0.11312,-0.069799,0.45136,0.06416,0.17202,4.59E-04,2.96E-03,-0.039385,-0.02722,Imbalance
0.05637,0.065594,-0.018203,-0.35591,-0.0069603,0.16794,7.64E-04,3.04E-03,-0.041686,-0.053522,Imbalance
0.060105,0.11896,-0.11414,0.3609,0.037454,0.17116,1.06E-03,2.71E-03,-0.038399,0.003027,Imbalance
0.058982,0.11222,-0.0048173,-0.11646,0.0090776,0.17146,6.60E-04,2.92E-03,-0.036426,0.028342,Imbalance
0.059239,0.088751,-0.12249,0.040365,0.0086794,0.16864,5.11E-04,3.15E-03,-0.036755,0.022753,Imbalance
0.058668,0.14233,0.012584,0.20805,0.026715,0.17136,3.68E-04,3.06E-03,-0.032809,-0.022946,Imbalance
0.057371,0.050419,-0.06262,-0.22735,-0.036056,0.16362,8.80E-04,2.98E-03,-0.031823,-0.023275,Imbalance
0.057294,0.17638,-0.041081,0.44023,0.044686,0.16823,1.31E-03,2.86E-03,-0.034124,0.008287,Imbalance
0.056954,0.064842,-0.02161,-0.44857,-0.010095,0.16417,1.12E-03,3.09E-03,-0.036755,0.026698,Imbalance
0.059926,0.11797,-0.089489,0.47953,0.079884,0.17153,7.09E-04,3.32E-03,-0.037412,0.014863,Imbalance
0.064636,0.049757,0.10358,-0.41787,0.013509,0.17471,9.73E-04,3.23E-03,-0.037083,-0.033467,Imbalance
0.066548,0.078913,-0.096498,0.25855,0.051141,0.17533,1.55E-03,3.33E-03,-0.037741,-0.028864,Imbalance
0.066106,0.07391,0.069705,-0.20192,0.02333,0.17808,1.32E-03,3.19E-03,-0.037412,0.008616,Imbalance
0.064251,0.025065,-0.033293,-0.17402,-0.0021753,0.17226,1.25E-03,3.07E-03,-0.033796,0.008287,Imbalance
0.054297,0.091673,-0.038939,0.19903,0.033838,0.16827,7.47E-04,3.28E-03,-0.033796,-0.015713,Imbalance
0.056351,-0.022001,-0.064688,-0.58142,-0.043597,0.16513,1.16E-03,3.00E-03,-0.032809,-0.014398,Imbalance
