G1x,G1y,G1z,G2x,G2y,G2z,Vb1,Vb2,Ac1,AC2,Lables
1.004,0.09,-0.125,-0.7379,-1.1837,0.7271,0.00E+00,0.00E+00,-0.00059,-0.020645,Healthy
1.004,-0.043,-0.125,-0.2986,-0.8655,1.4703,0.00E+00,0.00E+00,-0.000261,-0.021631,Healthy
0.969,0.09,-0.121,0.0656,-0.8198,1.2019,0.00E+00,0.00E+00,-0.000261,-0.020974,Healthy
0.973,-0.012,-0.137,0.0991,-0.6013,1.1829,0.00E+00,0.00E+00,0.001712,-0.021302,Healthy
1,-0.016,-0.121,0.2412,1.7182,1.5177,0.00E+00,0.00E+00,0.002369,-0.02196,Healthy
0.961,0.082,-0.121,0.1966,2.048,1.0825,8.78E+00,7.79E+00,0.003027,-0.02196,Healthy
0.973,-0.055,-0.109,0.2712,2.048,1.0789,8.78E+00,7.79E+00,0.004342,-0.022617,Healthy
1,0.012,-0.133,0.0511,2.048,0.7941,8.78E+00,7.78E+00,0.004671,-0.02196,Healthy
0.969,-0.102,-0.141,-0.1252,2.048,0.721,8.77E+00,7.78E+00,0.004671,-0.022617,Healthy
0.973,-0.059,-0.125,-0.2402,1.9686,1.1797,8.77E+00,7.78E+00,0.004342,-0.023275,Healthy
1.012,0.043,-0.133,0.0307,1.4809,1.1676,8.77E+00,7.78E+00,0.002369,-0.023604,Healthy
0.996,-0.109,-0.148,0.322,0.7754,0.9871,8.77E+00,7.77E+00,0.002369,-0.023604,Healthy
0.988,-0.02,-0.125,0.5002,1.0616,0.906,8.76E+00,7.77E+00,0.003027,-0.022617,Healthy
1.012,0.043,-0.129,0.1525,0.5594,0.4427,8.76E+00,7.77E+00,0.004013,-0.023275,Healthy
0.996,-0.09,-0.152,-0.1918,-0.9361,1.067,8.76E+00,7.76E+00,0.004999,-0.023933,Healthy
0.965,-0.102,-0.117,-0.0112,-1.2722,1.2558,8.76E+00,7.76E+00,0.006315,-0.023275,Healthy
1.004,0.055,-0.121,-0.1921,-1.8036,0.9801,8.75E+00,7.76E+00,0.007958,-0.023275,Healthy
0.988,-0.059,-0.141,-0.4918,-2.048,0.7879,8.75E+00,7.75E+00,0.008287,-0.023604,Healthy
0.969,-0.086,-0.117,-0.5139,-2.048,0.6922,8.75E+00,7.75E+00,0.008945,-0.023604,Healthy
1.039,0.094,-0.117,-0.1279,-0.995,1.2942,8.75E+00,7.75E+00,0.011246,-0.022946,Healthy
0.984,0.113,-0.148,-0.4642,-0.6225,0.9253,8.75E+00,7.75E+00,0.010917,-0.022946,Healthy
1.008,0.012,-0.141,-0.4547,0.0692,1.3943,8.74E+00,7.74E+00,0.012561,-0.022289,Healthy
0.996,0.035,-0.141,0.5307,0.0378,1.3485,8.74E+00,7.74E+00,0.013219,-0.022289,Healthy
0.988,-0.066,-0.125,0.8543,0.8192,0.6497,8.74E+00,7.74E+00,0.014205,-0.022289,Healthy
0.965,-0.156,-0.113,0.3739,2.048,1.1156,8.74E+00,7.73E+00,0.013876,-0.022946,Healthy
0.992,0.059,-0.129,0.2872,2.048,1.0924,8.73E+00,7.73E+00,0.01552,-0.022617,Healthy
0.992,-0.031,-0.125,-0.317,1.8601,0.9924,8.73E+00,7.73E+00,0.01552,-0.022289,Healthy
0.973,-0.133,-0.148,-0.8126,1.6012,0.9615,8.73E+00,7.72E+00,0.01552,-0.021631,Healthy
1.031,0.102,-0.145,-0.3046,1.4873,0.7229,8.73E+00,7.72E+00,0.016506,-0.02196,Healthy
0.984,-0.035,-0.125,0.7585,1.2932,1.108,8.72E+00,7.72E+00,0.016835,-0.02196,Healthy
0.984,-0.004,-0.137,0.2747,1.226,1.2411,8.72E+00,7.72E+00,0.016506,-0.022617,Healthy
1,0.098,-0.125,0.0101,0.5285,0.8387,8.72E+00,7.71E+00,0.017164,-0.023604,Healthy
1.031,-0.012,-0.129,0.2099,-0.1697,0.7386,8.72E+00,7.71E+00,0.016835,-0.023604,Healthy
0.965,-0.148,-0.152,0.1112,-0.1671,1.014,8.71E+00,7.71E+00,0.015191,-0.024261,Healthy
1.012,0.102,-0.129,0.0443,-1.2073,0.7473,8.71E+00,7.70E+00,0.014863,-0.024261,Healthy
1.008,-0.008,-0.133,-0.1893,-2.048,0.7362,8.71E+00,7.70E+00,0.014534,-0.024919,Healthy
0.965,-0.129,-0.164,-0.7508,-2.048,0.6908,8.71E+00,7.70E+00,0.013548,-0.025248,Healthy
1.004,0.145,-0.121,-0.7878,-1.9172,0.5891,8.70E+00,7.69E+00,0.01289,-0.025905,Healthy
1.008,0.004,-0.121,-0.2665,-1.2894,0.7075,8.70E+00,7.69E+00,0.01289,-0.025905,Healthy
0.984,0.027,-0.121,-0.7948,-0.4377,1.1056,8.70E+00,7.69E+00,0.011575,-0.026234,Healthy
1.031,0.07,-0.117,0.4915,-0.4912,0.8286,8.70E+00,7.68E+00,0.009931,-0.026563,Healthy
0.977,-0.051,-0.152,0.868,0.5985,1.1449,8.70E+00,7.68E+00,0.01026,-0.026234,Healthy
0.98,-0.094,-0.117,-0.0173,1.314,1.0517,8.69E+00,7.68E+00,0.009931,-0.025905,Healthy
1.02,0.082,-0.125,0.1217,1.2014,0.8883,8.69E+00,7.68E+00,0.009602,-0.025576,Healthy
0.98,-0.012,-0.137,-0.5167,1.6372,0.9675,8.69E+00,7.67E+00,0.009931,-0.025248,Healthy
0.977,-0.09,-0.125,-0.1337,1.4303,0.802,8.69E+00,7.67E+00,0.01026,-0.026234,Healthy
1.023,0.109,-0.109,-0.2642,1.9901,1.4038,8.68E+00,7.67E+00,0.009273,-0.02722,Healthy
0.992,0.008,-0.137,-0.3849,1.9851,1.1991,8.68E+00,7.66E+00,0.009931,-0.026563,Healthy
1.004,0.004,-0.133,0.1522,1.5354,0.8012,8.68E+00,7.66E+00,0.009931,-0.026891,Healthy
0.996,0.078,-0.133,0.5269,0.2485,0.8464,8.68E+00,7.66E+00,0.01026,-0.026563,Healthy
1,-0.039,-0.125,0.3345,0.4202,1.1561,8.67E+00,7.66E+00,0.01026,-0.025248,Healthy
0.965,0.113,-0.117,0.3241,-0.2757,0.8454,8.67E+00,7.65E+00,0.010589,-0.025905,Healthy
0.973,-0.027,-0.117,0.3608,-1.013,1.1785,8.67E+00,7.65E+00,0.009931,-0.026891,Healthy
1.008,-0.02,-0.121,0.6774,-1.4115,0.8022,8.67E+00,7.65E+00,0.01026,-0.027549,Healthy
0.965,0.09,-0.121,-0.6992,-1.6397,0.5478,8.66E+00,7.64E+00,0.01026,-0.026234,Healthy
0.957,-0.047,-0.113,-0.3643,-1.1383,0.9024,8.66E+00,7.64E+00,0.009602,-0.026563,Healthy
1.012,-0.004,-0.125,-0.1439,-1.4714,0.9588,8.66E+00,7.64E+00,0.01026,-0.026891,Healthy
0.969,-0.051,-0.133,-0.126,-1.3097,0.9681,8.66E+00,7.63E+00,0.009602,-0.02722,Healthy
1,0.121,-0.125,-0.353,-0.9246,1.3782,8.66E+00,7.63E+00,0.010589,-0.027878,Healthy
1.016,0.023,-0.121,0.5599,1.1545,0.9769,8.65E+00,7.63E+00,0.009602,-0.026563,Healthy
0.988,-0.121,-0.156,0.0938,1.1424,1.1338,8.65E+00,7.63E+00,0.008616,-0.024919,Healthy
0.992,-0.035,-0.137,0.1556,1.4297,1.0688,8.65E+00,7.62E+00,0.008287,-0.024919,Healthy
1,0.039,-0.125,0.4448,2.048,0.5755,8.65E+00,7.62E+00,0.006315,-0.025905,Healthy
0.992,-0.094,-0.156,-0.1583,1.6516,0.791,8.64E+00,7.62E+00,0.005986,-0.024919,Healthy
0.969,-0.086,-0.129,-0.1059,2.048,1.2452,8.64E+00,7.61E+00,0.005328,-0.023933,Healthy
1,0.051,-0.121,0.197,2.048,1.0438,8.64E+00,7.61E+00,0.004671,-0.02459,Healthy
0.984,0.082,-0.148,0.3588,1.8184,1.2568,8.64E+00,7.61E+00,0.005328,-0.023933,Healthy
1.031,0.102,-0.121,0.0049,2,1.1558,8.63E+00,7.60E+00,0.005328,-0.023933,Healthy
0.996,0,-0.145,-0.0669,1.1406,0.727,8.63E+00,7.60E+00,0.004013,-0.024261,Healthy
0.973,-0.09,-0.125,0.2191,-0.2125,1.2595,8.63E+00,7.60E+00,0.003684,-0.023604,Healthy
0.961,-0.023,-0.133,0.3478,-0.988,0.9421,8.63E+00,7.60E+00,0.003027,-0.02459,Healthy
0.988,0.023,-0.137,-0.1531,-1.3077,0.6783,8.62E+00,7.59E+00,0.003027,-0.025248,Healthy
0.984,-0.082,-0.121,-0.0266,-2.048,0.605,8.62E+00,7.59E+00,0.003356,-0.026234,Healthy
0.965,-0.152,-0.148,-0.1068,-2.048,0.4259,8.62E+00,7.59E+00,0.003684,-0.025905,Healthy
0.992,0.008,-0.129,0.1895,-1.4835,1.0053,8.62E+00,7.58E+00,0.003356,-0.026234,Healthy
0.996,-0.051,-0.121,-0.3126,-1.0522,1.0766,8.62E+00,7.58E+00,0.004013,-0.026234,Healthy
0.969,-0.141,-0.148,-0.5617,-1.1218,1.0525,8.61E+00,7.58E+00,0.004342,-0.026891,Healthy
0.996,0.094,-0.141,-0.8498,-1.0669,0.9152,8.61E+00,7.58E+00,0.004671,-0.026891,Healthy
1.027,-0.031,-0.133,-0.0037,-0.7047,1.1883,8.61E+00,7.57E+00,0.004342,-0.02722,Healthy
0.977,-0.09,-0.145,0.3225,1.7101,0.857,8.61E+00,7.57E+00,0.003684,-0.025248,Healthy
0.996,0.109,-0.133,-0.4444,1.3675,1.1554,8.60E+00,7.57E+00,0.002698,-0.023275,Healthy
1.047,-0.016,-0.113,-0.3346,1.2152,0.9985,8.60E+00,7.56E+00,0.000725,-0.02196,Healthy
0.973,-0.133,-0.148,-0.0568,1.6875,0.8428,8.60E+00,7.56E+00,0.000397,-0.022289,Healthy
0.988,0.055,-0.129,-0.1105,2.048,1.104,8.60E+00,7.56E+00,-0.000261,-0.020974,Healthy
1.02,0.008,-0.129,-0.5514,1.2997,1.1029,8.59E+00,7.56E+00,0.000068,-0.01933,Healthy
1.004,0.148,-0.121,0.1168,1.0702,0.9103,8.59E+00,7.55E+00,-0.000261,-0.017686,Healthy
1.023,0.078,-0.121,0.1483,1.107,1.1606,8.59E+00,7.55E+00,0.000397,-0.018672,Healthy
0.996,-0.031,-0.137,0.2912,0.9533,1.1829,8.59E+00,7.55E+00,0.000068,-0.020645,Healthy
0.973,-0.086,-0.113,0.6354,-0.0832,1.1495,8.58E+00,7.54E+00,0.000397,-0.019001,Healthy
1.031,0.082,-0.121,-0.3032,-1.6062,0.8662,8.58E+00,7.54E+00,0.001383,-0.020645,Healthy
0.984,-0.043,-0.152,-1.0489,-1.418,0.9736,8.58E+00,7.54E+00,0.001712,-0.02196,Healthy
0.973,-0.078,-0.125,-0.9681,-1.8991,0.692,8.58E+00,7.54E+00,0.002369,-0.020974,Healthy
1.027,0.074,-0.125,-0.1512,-1.8132,0.7813,8.58E+00,7.53E+00,0.003684,-0.019987,Healthy
0.988,-0.008,-0.141,0.2254,-1.3929,0.8553,8.57E+00,7.53E+00,0.003684,-0.018343,Healthy
0.98,-0.094,-0.125,-0.4311,-0.5163,1.4142,8.57E+00,7.53E+00,0.003684,-0.01933,Healthy
1.027,0.105,-0.121,0.8709,-0.6961,0.9668,8.57E+00,7.52E+00,0.003356,-0.019987,Healthy
0.977,0.012,-0.145,0.9933,0.7362,1.0473,8.57E+00,7.52E+00,0.002698,-0.021302,Healthy
1.023,0.09,-0.125,0.6126,1.1346,1.1465,8.56E+00,7.52E+00,0.002698,-0.020316,Healthy
0.969,0.102,-0.105,-0.2669,1.1398,0.6942,8.56E+00,7.51E+00,0.002369,-0.020645,Healthy
0.98,-0.02,-0.117,0.2422,2.048,1.4204,8.56E+00,7.51E+00,0.003356,-0.025248,Healthy
0.984,0.008,-0.125,0.3388,2.048,0.9837,8.56E+00,7.51E+00,0.003356,-0.027549,Healthy
0.973,-0.043,-0.117,0.218,2.048,0.8044,8.55E+00,7.51E+00,0.003684,-0.02459,Healthy
1.004,0,-0.125,-0.4046,2.048,1.1831,8.55E+00,7.50E+00,0.003356,-0.023604,Healthy
0.973,-0.137,-0.156,-0.4553,2.048,1.0047,8.55E+00,7.50E+00,0.003684,-0.023604,Healthy
0.973,-0.039,-0.121,0.7894,0.9186,1.0448,8.55E+00,7.50E+00,0.004013,-0.022946,Healthy
1.016,0.012,-0.133,0.4197,-0.2408,0.7571,8.55E+00,7.49E+00,0.004342,-0.020974,Healthy
0.996,-0.125,-0.152,0.2739,-0.2028,1.1077,8.54E+00,7.49E+00,0.004671,-0.019001,Healthy
0.961,-0.086,-0.113,0.0512,-1.3642,0.7307,8.54E+00,7.49E+00,0.004342,-0.017357,Healthy
1.004,0.035,-0.129,-0.5571,-1.2076,0.9931,8.54E+00,7.49E+00,0.004999,-0.018015,Healthy
0.98,-0.082,-0.152,-0.1613,-1.7003,0.8254,8.54E+00,7.48E+00,0.005657,-0.018343,Healthy
0.973,-0.078,-0.121,-0.0292,-1.6037,0.8965,8.53E+00,7.48E+00,0.004999,-0.022946,Healthy
1.027,0.066,-0.121,-0.1707,-1.428,1.1371,8.53E+00,7.48E+00,0.005657,-0.025248,Healthy
0.992,-0.063,-0.145,-0.7689,-1.4329,0.7346,8.53E+00,7.47E+00,0.004671,-0.023933,Healthy
0.988,-0.051,-0.125,-0.7891,-1.3047,1.0118,8.53E+00,7.47E+00,0.005328,-0.023933,Healthy
1.023,0.078,-0.125,0.6674,0.9371,1.0627,8.52E+00,7.47E+00,0.005657,-0.023275,Healthy
1.004,0.109,-0.145,0.1514,0.9167,0.7042,8.52E+00,7.47E+00,0.005986,-0.023275,Healthy
1.031,0.117,-0.121,-0.0625,0.9089,0.814,8.52E+00,7.46E+00,0.006315,-0.02196,Healthy
0.992,0.016,-0.137,-0.0496,1.0634,0.7693,8.52E+00,7.46E+00,0.007301,-0.021631,Healthy
0.98,-0.059,-0.125,-0.0523,1.9071,0.921,8.52E+00,7.46E+00,0.008287,-0.020974,Healthy
0.973,-0.152,-0.152,-0.1398,2.048,1.3955,8.51E+00,7.45E+00,0.009602,-0.022617,Healthy
1.004,0.074,-0.137,-0.3509,2.048,0.9961,8.51E+00,7.45E+00,0.010589,-0.024919,Healthy
1.012,-0.027,-0.137,-0.3737,1.4396,0.9819,8.51E+00,7.45E+00,0.010917,-0.024261,Healthy
0.965,-0.133,-0.148,-0.3611,1.6494,1.4181,8.51E+00,7.45E+00,0.012232,-0.022946,Healthy
1.004,0.086,-0.125,-0.138,1.702,1.1532,8.50E+00,7.44E+00,0.012561,-0.019987,Healthy
1.031,-0.051,-0.133,0.0861,0.3116,0.5118,8.50E+00,7.44E+00,0.012232,-0.018672,Healthy
0.996,-0.031,-0.141,0.2339,-0.3461,0.7081,8.50E+00,7.44E+00,0.012561,-0.019001,Healthy
0.996,0.086,-0.129,0.208,-1.9918,0.5368,8.50E+00,7.43E+00,0.012561,-0.021302,Healthy
1.023,-0.02,-0.121,0.0589,-1.5832,1.0519,8.50E+00,7.43E+00,0.012232,-0.023275,Healthy
0.957,-0.152,-0.156,-0.4566,-1.3539,1.2361,8.49E+00,7.43E+00,0.012232,-0.022946,Healthy
1.004,0.063,-0.121,-0.0627,-1.8105,0.9861,8.49E+00,7.43E+00,0.012561,-0.02196,Healthy
1.023,0.004,-0.133,-0.4348,-1.8828,0.9032,8.49E+00,7.42E+00,0.013548,-0.022946,Healthy
1,0.141,-0.117,-0.4693,-1.6727,0.8222,8.49E+00,7.42E+00,0.014863,-0.02459,Healthy
1.012,0.063,-0.125,-0.8537,-1.3708,0.9511,8.48E+00,7.42E+00,0.016178,-0.024919,Healthy
0.988,-0.059,-0.145,-0.3317,-1.1495,1.0854,8.48E+00,7.41E+00,0.017164,-0.023933,Healthy
0.977,-0.063,-0.121,0.1286,0.6739,0.8223,8.48E+00,7.41E+00,0.018479,-0.022946,Healthy
1.023,0.074,-0.129,-0.096,0.992,0.7634,8.48E+00,7.41E+00,0.018808,-0.021302,Healthy
0.988,-0.051,-0.156,-0.0074,1.4819,0.8972,8.47E+00,7.41E+00,0.019465,-0.022289,Healthy
0.977,-0.094,-0.109,0.1651,1.9213,1.0629,8.47E+00,7.40E+00,0.018808,-0.024261,Healthy
1.02,0.051,-0.125,0.5954,2.048,1.0307,8.47E+00,7.40E+00,0.019137,-0.02459,Healthy
0.984,-0.031,-0.148,-0.3062,1.8949,1.1721,8.47E+00,7.40E+00,0.01815,-0.025248,Healthy
0.977,-0.109,-0.125,-0.2994,1.7898,1.1884,8.47E+00,7.40E+00,0.016835,-0.024261,Healthy
1.031,0.098,-0.129,-0.5289,1.7902,1.0063,8.46E+00,7.39E+00,0.015849,-0.022289,Healthy
0.996,-0.004,-0.145,-0.2396,1.5406,1.0874,8.46E+00,7.39E+00,0.015849,-0.019987,Healthy
0.98,-0.082,-0.121,0.2592,1.1428,0.9303,8.46E+00,7.39E+00,0.015849,-0.017686,Healthy
1.039,0.117,-0.121,0.1469,-0.5147,0.5114,8.46E+00,7.38E+00,0.016506,-0.018015,Healthy
0.973,0.023,-0.137,0.3704,-1.3829,1.0831,8.45E+00,7.38E+00,0.015849,-0.018672,Healthy
1.016,0.016,-0.125,0.2662,-0.7495,1.5086,8.45E+00,7.38E+00,0.016178,-0.019987,Healthy
0.992,0.09,-0.133,-0.1016,-1.8139,0.9581,8.45E+00,7.38E+00,0.016835,-0.020974,Healthy
1,-0.023,-0.148,-0.1767,-1.6367,0.9378,8.45E+00,7.37E+00,0.016506,-0.021302,Healthy
0.957,-0.148,-0.113,-0.493,-1.6591,0.7071,8.45E+00,7.37E+00,0.015849,-0.020974,Healthy
0.988,0.043,-0.125,-0.3547,-1.6945,1.0236,8.44E+00,7.37E+00,0.014534,-0.01933,Healthy
1.004,-0.004,-0.137,-0.273,-1.304,1.241,8.44E+00,7.36E+00,0.014205,-0.018343,Healthy
0.965,-0.137,-0.109,-0.6915,-0.9187,0.7814,8.44E+00,7.36E+00,0.014205,-0.018343,Healthy
1.008,0.141,-0.125,-0.1669,-0.868,1.0781,8.44E+00,7.36E+00,0.012561,-0.019658,Healthy
1.008,-0.012,-0.121,0.0116,1.4936,1.0868,8.43E+00,7.36E+00,0.01289,-0.021302,Healthy
0.969,-0.121,-0.121,0.3439,1.7817,0.9177,8.43E+00,7.35E+00,0.011904,-0.022289,Healthy
1.008,0.148,-0.121,0.7507,2.048,1.0422,8.43E+00,7.35E+00,0.011246,-0.021631,Healthy
1.016,0.031,-0.129,-0.0745,2.048,1.06,8.43E+00,7.35E+00,0.010589,-0.020316,Healthy
1.016,-0.004,-0.129,-0.4172,2.048,0.9623,8.42E+00,7.34E+00,0.010589,-0.019987,Healthy
0.965,-0.07,-0.117,-0.2041,2.048,1.1682,8.42E+00,7.34E+00,0.011246,-0.020645,Healthy
1.02,0.047,-0.125,0.2515,1.7115,1.2318,8.42E+00,7.34E+00,0.010589,-0.020645,Healthy
0.984,0.141,-0.152,0.4985,1.515,1.0022,8.42E+00,7.34E+00,0.009602,-0.019001,Healthy
1,0.055,-0.125,0.2204,1.2393,0.8686,8.42E+00,7.33E+00,0.009602,-0.018672,Healthy
0.984,-0.008,-0.137,0.0188,0.6273,0.6297,8.41E+00,7.33E+00,0.009602,-0.017686,Healthy
0.984,0.121,-0.117,-0.0557,-1.3253,0.8247,8.41E+00,7.33E+00,0.01026,-0.018015,Healthy
0.973,-0.137,-0.137,-0.3451,-1.2516,0.957,8.41E+00,7.33E+00,0.008616,-0.018015,Healthy
1,-0.008,-0.129,-0.9443,-1.8595,0.7624,8.41E+00,7.32E+00,0.008945,-0.016371,Healthy
0.98,0.082,-0.125,-1.0747,-2.0368,0.6779,8.40E+00,7.32E+00,0.009602,-0.016042,Healthy
0.969,-0.129,-0.137,-0.5075,-1.6723,0.8078,8.40E+00,7.32E+00,0.009273,-0.016371,Healthy
0.988,0.047,-0.137,-0.4221,-0.9623,0.8631,8.40E+00,7.31E+00,0.01026,-0.017028,Healthy
1.02,-0.043,-0.129,-0.3308,-0.6643,0.8089,8.40E+00,7.31E+00,0.009931,-0.015713,Healthy
0.969,-0.113,-0.141,0.2058,-0.7433,0.2141,8.40E+00,7.31E+00,0.009931,-0.015384,Healthy
1.004,0.063,-0.133,0.5856,0.1979,0.7899,8.39E+00,7.31E+00,0.010917,-0.016042,Healthy
1.035,-0.063,-0.129,0.2185,1.2126,1.0389,8.39E+00,7.30E+00,0.010917,-0.016371,Healthy
0.973,-0.094,-0.141,-0.0741,1.5297,1.1493,8.39E+00,7.30E+00,0.010917,-0.0167,Healthy
0.996,0.066,-0.137,0.034,1.5678,0.9392,8.39E+00,7.30E+00,0.01026,-0.0167,Healthy
1.031,-0.035,-0.133,0.0018,1.056,0.6354,8.38E+00,7.30E+00,0.01026,-0.017357,Healthy
0.961,-0.156,-0.152,0.186,0.2281,0.5612,8.38E+00,7.29E+00,0.01026,-0.015384,Healthy
1.004,0.059,-0.133,0.3876,0.2333,0.9104,8.38E+00,7.29E+00,0.01026,-0.014398,Healthy
1.027,0.035,-0.125,-0.141,-0.5896,0.8979,8.38E+00,7.29E+00,0.011246,-0.013412,Healthy
1,0.141,-0.125,-0.3031,-1.2447,1.093,8.38E+00,7.28E+00,0.009602,-0.011768,Healthy
1.012,0.043,-0.125,-0.7994,-2.0259,1.0124,8.37E+00,7.28E+00,0.008945,-0.010782,Healthy
0.988,-0.07,-0.148,-1.0578,-1.9227,0.8237,8.37E+00,7.28E+00,0.008945,-0.010453,Healthy
0.977,-0.063,-0.117,-0.5509,-1.5018,0.8133,8.37E+00,7.28E+00,0.00763,-0.010782,Healthy
1.016,0.063,-0.125,-0.5854,-1.1273,0.8518,8.37E+00,7.27E+00,0.006643,-0.012097,Healthy
0.977,-0.09,-0.156,-0.6123,-0.8722,0.8248,8.36E+00,7.27E+00,0.005328,-0.011439,Healthy
0.977,-0.074,-0.125,0.1079,-0.3679,0.7152,8.36E+00,7.27E+00,0.003684,-0.01111,Healthy
1.027,0.059,-0.125,0.8451,0.2531,0.8457,8.36E+00,7.26E+00,0.00204,-0.010453,Healthy
0.98,-0.063,-0.145,0.331,1.09,1.1288,8.36E+00,7.26E+00,0.000725,-0.011768,Healthy
0.969,-0.102,-0.121,0.1853,1.7615,0.9819,8.36E+00,7.26E+00,0.000725,-0.013741,Healthy
1.008,0.066,-0.125,-0.1652,2.0401,1.3459,8.35E+00,7.26E+00,-0.000918,-0.015056,Healthy
0.977,-0.035,-0.145,-0.684,2.048,0.9517,8.35E+00,7.25E+00,-0.000918,-0.014398,Healthy
0.98,-0.09,-0.121,-0.6073,1.7555,1.1108,8.35E+00,7.25E+00,-0.001576,-0.013741,Healthy
1.039,0.109,-0.117,-0.282,1.83,1.2343,8.35E+00,7.25E+00,-0.001576,-0.013412,Healthy
0.988,-0.004,-0.137,0.1893,0.5965,0.7208,8.34E+00,7.25E+00,-0.002234,-0.013412,Healthy
0.98,-0.066,-0.125,-0.031,0.7214,1.0743,8.34E+00,7.24E+00,-0.002234,-0.013083,Healthy
1.035,0.098,-0.117,0.1886,0.4819,1.3311,8.34E+00,7.24E+00,-0.002562,-0.014398,Healthy
0.973,0.02,-0.141,0.5611,-0.0675,0.9181,8.34E+00,7.24E+00,-0.001905,-0.014727,Healthy
1.02,0.082,-0.125,0.463,-0.6332,0.9042,8.34E+00,7.23E+00,-0.001576,-0.013412,Healthy
0.988,0.078,-0.129,-0.3474,-1.7116,0.9291,8.33E+00,7.23E+00,-0.002562,-0.013083,Healthy
0.996,-0.031,-0.133,-0.4637,-1.7052,0.7791,8.33E+00,7.23E+00,-0.004535,-0.012097,Healthy
0.957,-0.156,-0.117,-0.3879,-1.744,0.9981,8.33E+00,7.23E+00,-0.004535,-0.011439,Healthy
1.012,0.066,-0.125,-0.2137,-1.5744,0.9078,8.33E+00,7.22E+00,-0.005193,-0.010453,Healthy
1.008,-0.02,-0.129,-0.2629,-1.5335,0.7808,8.32E+00,7.22E+00,-0.006179,-0.010124,Healthy
0.961,-0.133,-0.152,-0.0718,-0.3164,1.0658,8.32E+00,7.22E+00,-0.006836,-0.00848,Healthy
1.004,0.141,-0.129,0.7924,-0.216,0.7347,8.32E+00,7.22E+00,-0.008151,-0.00848,Healthy
1,0.016,-0.125,0.4728,1.3261,1.0092,8.32E+00,7.21E+00,-0.007494,-0.00848,Healthy
0.988,0.121,-0.156,0.3727,1.7635,1.1023,8.32E+00,7.21E+00,-0.007494,-0.009467,Healthy
1.027,0.07,-0.113,0.3239,1.6692,0.8569,8.31E+00,7.21E+00,-0.007494,-0.010124,Healthy
0.973,-0.059,-0.156,-0.2517,2.048,1.3388,8.31E+00,7.20E+00,-0.007165,-0.010453,Healthy
0.984,0.074,-0.117,-0.18,1.7599,1.0222,8.31E+00,7.20E+00,-0.007165,-0.011439,Healthy
0.988,-0.066,-0.137,-0.3608,2.0149,0.8562,8.31E+00,7.20E+00,-0.006508,-0.011439,Healthy
0.98,-0.031,-0.148,-0.338,1.6981,0.9793,8.30E+00,7.20E+00,-0.007165,-0.012097,Healthy
0.965,0.121,-0.098,-0.1986,1.1812,0.7988,8.30E+00,7.19E+00,-0.007494,-0.013083,Healthy
0.992,-0.063,-0.129,0.5802,0.0666,0.8879,8.30E+00,7.19E+00,-0.007494,-0.012754,Healthy
0.992,-0.004,-0.141,0.7784,0.3557,0.9979,8.30E+00,7.19E+00,-0.007494,-0.013741,Healthy
0.973,-0.09,-0.121,0.055,-0.6421,1.0166,8.30E+00,7.19E+00,-0.006508,-0.015056,Healthy
1.035,0.117,-0.121,0.2111,-1.6782,0.9782,8.29E+00,7.18E+00,-0.004535,-0.016042,Healthy
1.008,0.004,-0.133,0.0821,-1.1955,0.9933,8.29E+00,7.18E+00,-0.003549,-0.017028,Healthy
1.035,-0.074,-0.129,-0.4939,-1.7961,0.8787,8.29E+00,7.18E+00,-0.002562,-0.017357,Healthy
